"","x"
"326","Egflam"
"327","Emc10"
"328","Emcn"
"329","Emid1"
"330","Endou"
"331","Epdr1"
"332","Epgn"
"333","Epo"
"334","Epyc"
"335","Erfe"
"336","F12"
"337","F7"
"338","Fam131a"
"339","Fam3a"
"340","Fam3b"
"341","Fas"
"342","Fasl"
"343","Fbln1"
"344","Fbln2"
"345","Fbln5"
"346","Fbln7"
"347","Fbn2"
"348","Fcgr4"
"349","Fcna"
"350","Fcnb"
"351","Fcrla"
"352","Fcrlb"
"353","Fga"
"354","Fgb"
"355","Fgf15"
"356","Fgf17"
"357","Fgf18"
"358","Fgf23"
"359","Fgf3"
"360","Fgf4"
"361","Fgf5"
"362","Fgf6"
"363","Fgf8"
"364","Fgf9"
"365","Fgfbp1"
"366","Fgfbp3"
"367","Fgg"
"368","Fmod"
"369","Fn1"
"370","Fndc5"
"371","Fndc7"
"372","Frem1"
"373","Fshb"
"374","Fstl1"
"375","Fstl3"
"376","Fstl4"
"377","Gabbr1"
"378","Gal"
"379","Galp"
"380","Gast"
"381","Gcg"
"382","Gdf10"
"383","Gdf11"
"384","Gdf15"
"385","Gdf3"
"386","Gdf5"
"387","Gdf9"
"388","Gdnf"
"389","Gfra4"
"390","Ggh"
"391","Gh"
"392","Ghrh"
"393","Gkn2"
"394","Glipr1l1"
"395","Glipr1l3"
"396","Glt1d1"
"397","Gm10591"
"398","Gm128"
"399","Gm13304"
"400","Gm13306"
"401","Gm21541"
"402","Gm2506"
"403","Gm43720"
"404","Gm44805"
"405","Gm5155"
"406","Gm525"
"407","Gm7298"
"408","Gm9780"
"409","Gpc2"
"410","Gpc4"
"411","Gpc5"
"412","Gpc6"
"413","Gpha2"
"414","Gphb5"
"415","Gpx3"
"416","Gpx7"
"417","Grn"
"418","Grp"
"419","Guca2a"
"420","Guca2b"
"421","Gzmm"
"422","Hamp"
"423","Hapln1"
"424","Hapln2"
"425","Hapln3"
"426","Hapln4"
"427","Hbegf"
"428","Hgfac"
"429","Hhipl1"
"430","Hhla1"
"431","Hilpda"
"432","Hp"
"433","Hpse"
"434","Hpx"
"435","Htra1"
"436","Htra3"
"437","Htra4"
"438","Hyal1"
"439","Hyal3"
"440","Ibsp"
"441","Icam4"
"442","Icos"
"443","Ifna1"
"444","Ifna11"
"445","Ifna12"
"446","Ifna13"
"447","Ifna14"
"448","Ifna15"
"449","Ifna16"
"450","Ifna2"
"451","Ifna4"
"452","Ifna5"
"453","Ifna6"
"454","Ifna7"
"455","Ifna9"
"456","Ifnab"
"457","Ifnar2"
"458","Ifnb1"
"459","Ifng"
"460","Igf1"
"461","Igf2"
"462","Igfals"
"463","Igfbp1"
"464","Igfbp4"
"465","Igfbp5"
"466","Igfbpl1"
"467","Igfl3"
"468","Iglon5"
"469","Il10"
"470","Il11"
"471","Il12a"
"472","Il12b"
"473","Il13"
"474","Il15"
"475","Il16"
"476","Il17a"
"477","Il17b"
"478","Il17c"
"479","Il17d"
"480","Il17f"
"481","Il17re"
"482","Il18"
"483","Il18bp"
"484","Il19"
"485","Il1a"
"486","Il1b"
"487","Il1f10"
"488","Il1f5"
"489","Il1f6"
"490","Il1f8"
"491","Il1f9"
"492","Il1rap"
"493","Il1rl1"
"494","Il1rn"
"495","Il2"
"496","Il20"
"497","Il21"
"498","Il22"
"499","Il22ra2"
"500","Il23a"
"501","Il24"
"502","Il25"
"503","Il27"
"504","Il3"
"505","Il31"
"506","Il33"
"507","Il34"
"508","Il4"
"509","Il5"
"510","Il6"
"511","Il7"
"512","Il9"
"513","Il9r"
"514","Iltifb"
"515","Inha"
"516","Inhbb"
"517","Inhbe"
"518","Ins1"
"519","Ins2"
"520","Insl3"
"521","Isg15"
"522","Islr"
"523","Ism2"
"524","Itih4"
"525","Itln1"
"526","Itlnb"
"527","Itm2b"
"528","Izumo4"
"529","Kazald1"
"530","Kera"
"531","Kitl"
"532","Klk10"
"533","Klk14"
"534","Klk4"
"535","Klk8"
"536","Klk9"
"537","Krtdap"
"538","Lama2"
"539","Lama4"
"540","Lamb1"
"541","Lamb3"
"542","Lamc2"
"543","Lbp"
"544","Lcn12"
"545","Lcn2"
"546","Lcn8"
"547","Lcn9"
"548","Leap2"
"549","Lect2"
"550","Lefty1"
"551","Lefty2"
"552","Lgals3bp"
"553","Lgi4"
"554","Lipc"
"555","Lipf"
"556","Lipg"
"557","Liph"
"558","Lipn"
"559","LOC100861978"
"560","Lox"
"561","Loxl2"
"562","Loxl3"
"563","Lpl"
"564","Lpo"
"565","Lta"
"566","Ltbp1"
"567","Ltbp4"
"568","Ltf"
"569","Lum"
"570","Ly6g5b"
"571","Ly6k"
"572","Ly86"
"573","Ly96"
"574","Lyg1"
"575","Lynx1"
"576","Lypd6"
"577","Lyz1"
"578","Lyz2"
"579","Lyzl1"
"580","Lyzl4"
"581","Lyzl6"
"582","Mamdc2"
"583","Man2b2"
"584","Masp1"
"585","Masp2"
"586","Matn1"
"587","Matn3"
"588","Matn4"
"589","Mcpt1"
"590","Mepe"
"591","Metrn"
"592","Metrnl"
"593","Mfap2"
"594","Mfap5"
"595","Mfge8"
"596","Mif"
"597","Mmp12"
"598","Mmp13"
"599","Mmp17"
"600","Mmp19"
"601","Mmp2"
"602","Mmp3"
"603","Mmp7"
"604","Mmp9"
"605","Msln"
"606","Mst1"
"607","Muc4"
"608","Mug1"
"609","Mug2"
"610","Mydgf"
"611","Myoc"
"612","Mzb1"
"613","Napsa"
"614","Ncan"
"615","Ndnf"
"616","Ndp"
"617","Nectin1"
"618","Nectin4"
"619","Nell1"
"620","Nell2"
"621","Nenf"
"622","Nepn"
"623","Ngf"
"624","Ngp"
"625","Ngrn"
"626","Nid2"
"627","Nms"
"628","Nodal"
"629","Notum"
"630","Npb"
"631","Npc2"
"632","Npff"
"633","Npnt"
"634","Nppa"
"635","Nppb"
"636","Nps"
"637","Npvf"
"638","Npw"
"639","Npy"
"640","Nrg1"
"641","Ntf3"
"642","Ntn4"
"643","Nucb1"
"644","Nyx"
"645","Obp2a"
"646","Oc90"
"647","Odam"
"648","Olfm1"
"649","Olfm4"
"650","Olfml2a"
"651","Olfml2b"
"652","Olfml3"
"653","Olr1"
"654","Oosp1"
"655","Oosp2"
"656","Orm1"
"657","Orm2"
"658","Orm3"
"659","Osm"
"660","Ostn"
"661","Otoa"
"662","Otogl"
"663","Otol1"
"664","Otos"
"665","Ovch2"
"666","Oxt"
"667","Papln"
"668","Pappa"
"669","Pappa2"
"670","Pate1"
"671","Pate2"
"672","Pate4"
"673","Pcdha1"
"674","Pcdha9"
"675","Pcsk1n"
"676","Pcsk9"
"677","Pdgfa"
"678","Pdgfb"
"679","Pdyn"
"680","Penk"
"681","Pf4"
"682","Pgc"
"683","Pgf"
"684","Pglyrp1"
"685","Pglyrp2"
"686","Pglyrp3"
"687","Pglyrp4"
"688","Pinlyp"
"689","Pip"
"690","Pla2g10"
"691","Pla2g12a"
"692","Pla2g12b"
"693","Pla2g15"
"694","Pla2g1b"
"695","Pla2g2e"
"696","Pla2g7"
"697","Pla2r1"
"698","Plac1"
"699","Plac9a"
"700","Plac9b"
"701","Plat"
"702","Plaur"
"703","Pltp"
"704","Pmch"
"705","Pnlip"
"706","Pnliprp1"
"707","Pnliprp2"
"708","Pnoc"
"709","Podn"
"710","Pomc"
"711","Ppbp"
"712","Ppy"
"713","Pradc1"
"714","Prap1"
"715","Prf1"
"716","Prg2"
"717","Prg4"
"718","Prl2b1"
"719","Prl2c1"
"720","Prl2c5"
"721","Prl3d1"
"722","Prl3d2"
"723","Prl3d3"
"724","Prl5a1"
"725","Prlh"
"726","Prok1"
"727","Prok2"
"728","Pros1"
"729","Proz"
"730","Prrg2"
"731","Prss12"
"732","Prss2"
"733","Prss23"
"734","Prss27"
"735","Prss33"
"736","Prss35"
"737","Prss36"
"738","Prss38"
"739","Prss39"
"740","Prss40"
"741","Prss42"
"742","Prss45"
"743","Prss48"
"744","Prss54"
"745","Prss57"
"746","Prss58"
"747","Psap"
"748","Psapl1"
"749","Psg16"
"750","Psg17"
"751","Psg18"
"752","Psg19"
"753","Psg20"
"754","Psg21"
"755","Psg22"
"756","Psg23"
"757","Psg25"
"758","Psg26"
"759","Psg27"
"760","Psg28"
"761","Psg29"
"762","Psors1c2"
"763","Pspn"
"764","Ptgds"
"765","Pth2"
"766","Ptx3"
"767","Pvr"
"768","Pxdn"
"769","Pyy"
"770","Qpct"
"771","Qrfp"
"772","Qsox1"
"773","Raet1d"
"774","Raet1e"
"775","Rarres2"
"776","Rbp4"
"777","Reg1"
"778","Reg3a"
"779","Reg3b"
"780","Reg3d"
"781","Reg3g"
"782","Reg4"
"783","Reln"
"784","Resp18"
"785","Retn"
"786","Retnla"
"787","Retnlb"
"788","Retnlg"
"789","Rnase10"
"790","Rnase11"
