"","x"
"334","IGFALS"
"335","IGFBP4"
"336","IGFBP5"
"337","IGFL1"
"338","IGFL3"
"339","IGLON5"
"340","IL10"
"341","IL11"
"342","IL12A"
"343","IL12B"
"344","IL13"
"345","IL15"
"346","IL16"
"347","IL17A"
"348","IL17B"
"349","IL17C"
"350","IL17D"
"351","IL17F"
"352","IL17RE"
"353","IL18"
"354","IL18BP"
"355","IL19"
"356","IL1A"
"357","IL1B"
"358","IL1F10"
"359","IL1RAP"
"360","IL1RL1"
"361","IL1RN"
"362","IL2"
"363","IL20"
"364","IL21"
"365","IL22"
"366","IL22RA2"
"367","IL23A"
"368","IL24"
"369","IL25"
"370","IL26"
"371","IL27"
"372","IL3"
"373","IL31"
"374","IL32"
"375","IL33"
"376","IL34"
"377","IL36A"
"378","IL36B"
"379","IL36G"
"380","IL36RN"
"381","IL37"
"382","IL4"
"383","IL5"
"384","IL6"
"385","IL7"
"386","IL9"
"387","IL9R"
"388","INHBB"
"389","INHBE"
"390","INS"
"391","INSL3"
"392","ISLR"
"393","ISM2"
"394","ITM2B"
"395","KERA"
"396","KIAA0319"
"397","KITLG"
"398","KLK10"
"399","KLK4"
"400","KLK8"
"401","KLK9"
"402","KRTDAP"
"403","LAIR2"
"404","LAMA2"
"405","LAMB3"
"406","LAMC2"
"407","LBP"
"408","LCN1"
"409","LCN12"
"410","LCN2"
"411","LCN8"
"412","LCN9"
"413","LEAP2"
"414","LECT2"
"415","LEFTY1"
"416","LEFTY2"
"417","LGI4"
"418","LHB"
"419","LIPC"
"420","LIPF"
"421","LIPG"
"422","LIPH"
"423","LOX"
"424","LOXL3"
"425","LPL"
"426","LPO"
"427","LTA"
"428","LTBP1"
"429","LTBP4"
"430","LTF"
"431","LUM"
"432","LY6G5B"
"433","LY6K"
"434","LY86"
"435","LY96"
"436","LYG1"
"437","LYNX1"
"438","LYPD6"
"439","LYZ"
"440","LYZL4"
"441","MAMDC2"
"442","MAN2B2"
"443","MASP1"
"444","MASP2"
"445","MATN3"
"446","MATN4"
"447","MEPE"
"448","METRNL"
"449","MFAP2"
"450","MFAP5"
"451","MFGE8"
"452","MIF"
"453","MLN"
"454","MMP10"
"455","MMP12"
"456","MMP19"
"457","MMP26"
"458","MMP3"
"459","MMP7"
"460","MMP9"
"461","MSLN"
"462","MUC4"
"463","MYDGF"
"464","MZB1"
"465","NCAN"
