"","x"
"915","GPRC6A"
"916","GRAMD1B"
"917","GRIA1"
"918","GRIA2"
"919","GRIA3"
"920","GRIA4"
"921","GRID1"
"922","GRID2"
"923","GRIK1"
"924","GRIK2"
"925","GRIK3"
"926","GRIK4"
"927","GRIK5"
"928","GRIN1"
"929","GRIN2A"
"930","GRIN2B"
"931","GRIN2C"
"932","GRIN2D"
"933","GRIN3A"
"934","GRIN3B"
"935","GRM1"
"936","GRM2"
"937","GRM3"
"938","GRM4"
"939","GRM5"
"940","GRM6"
"941","GRM7"
"942","GRM8"
"943","GRPR"
"944","GSG1"
"945","GSG1L"
"946","GUCY2C"
"947","GYPA"
"948","GYPB"
"949","GYPC"
"950","HAVCR1"
"951","HAVCR2"
"952","HBEGF"
"953","HCAR1"
"954","HCAR2"
"955","HCAR3"
"956","HCRTR1"
"957","HCRTR2"
"958","HEG1"
"959","HEPACAM"
"960","HEPACAM2"
"961","HEPH"
"962","HEPHL1"
"963","HERVK_113"
"964","HFE"
"965","HFE2"
"966","HHLA2"
"967","HIAT1"
"968","HIDE1"
"969","HLA-A"
"970","HLA-B"
"971","HLA-C"
"972","HLA-DMA"
"973","HLA-DMB"
"974","HLA-DOA"
"975","HLA-DOB"
"976","HLA-DPA1"
"977","HLA-DPB1"
"978","HLA-DQA1"
"979","HLA-DQA2"
"980","HLA-DQB1"
"981","HLA-DQB2"
"982","HLA-DRA"
"983","HLA-DRB1"
"984","HLA-DRB3"
"985","HLA-DRB4"
"986","HLA-DRB5"
"987","HLA-E"
"988","HLA-F"
"989","HLA-G"
"990","HLA-H"
"991","HM13"
"992","HMMR"
"993","HRH1"
"994","HRH2"
"995","HRH3"
"996","HRH4"
"997","HTR1A"
"998","HTR1B"
"999","HTR1D"
"1000","HTR1E"
"1001","HTR1F"
"1002","HTR2A"
"1003","HTR2B"
"1004","HTR2C"
"1005","HTR3A"
"1006","HTR3B"
"1007","HTR3C"
"1008","HTR3D"
"1009","HTR3E"
"1010","HTR4"
"1011","HTR5A"
"1012","HTR6"
"1013","HTR7"
"1014","HYAL2"
"1015","ICAM1"
"1016","ICAM2"
"1017","ICAM3"
"1018","ICAM4"
"1019","ICAM5"
"1020","ICOS"
"1021","ICOSLG"
"1022","IFITM1"
"1023","IFNAR1"
"1024","IFNAR2"
"1025","IFNGR1"
"1026","IFNGR2"
"1027","IFNLR1"
"1028","IGDCC3"
"1029","IGDCC4"
"1030","IGF1R"
"1031","IGF2R"
"1032","IGFLR1"
"1033","IGLL1"
"1034","IGSF1"
"1035","IGSF11"
"1036","IGSF3"
"1037","IGSF5"
"1038","IGSF6"
"1039","IGSF8"
"1040","IGSF9"
"1041","IGSF9B"
"1042","IL10RA"
"1043","IL10RB"
"1044","IL11RA"
"1045","IL12RB1"
"1046","IL12RB2"
"1047","IL13RA1"
"1048","IL13RA2"
"1049","IL15RA"
"1050","IL17RA"
"1051","IL17RB"
"1052","IL17RC"
"1053","IL17RD"
"1054","IL17RE"
"1055","IL18R1"
"1056","IL18RAP"
"1057","IL1R1"
"1058","IL1R2"
"1059","IL1RAP"
"1060","IL1RAPL1"
"1061","IL1RAPL2"
"1062","IL1RL1"
"1063","IL1RL2"
"1064","IL20RA"
"1065","IL20RB"
"1066","IL21R"
"1067","IL22RA1"
"1068","IL23R"
"1069","IL27RA"
"1070","IL2RA"
"1071","IL2RB"
"1072","IL2RG"
"1073","IL31RA"
"1074","IL3RA"
"1075","IL4R"
"1076","IL5RA"
"1077","IL6R"
"1078","IL6ST"
"1079","IL7R"
"1080","IL9R"
"1081","ILDR1"
"1082","IMPG2"
"1083","INSR"
"1084","INSRR"
"1085","ISLR2"
"1086","ITFG1"
"1087","ITGA1"
"1088","ITGA10"
"1089","ITGA11"
"1090","ITGA2"
"1091","ITGA2B"
"1092","ITGA3"
"1093","ITGA4"
"1094","ITGA5"
"1095","ITGA6"
"1096","ITGA7"
"1097","ITGA8"
"1098","ITGA9"
"1099","ITGAD"
"1100","ITGAE"
"1101","ITGAL"
"1102","ITGAM"
"1103","ITGAV"
"1104","ITGAX"
"1105","ITGB1"
"1106","ITGB2"
"1107","ITGB3"
"1108","ITGB4"
"1109","ITGB5"
"1110","ITGB6"
"1111","ITGB7"
"1112","ITGB8"
"1113","ITLN1"
"1114","ITM2B"
"1115","ITM2C"
"1116","IZUMO1"
"1117","IZUMO1R"
"1118","IZUMO3"
"1119","JAG1"
"1120","JAG2"
"1121","JAM2"
"1122","JAM3"
"1123","KCNA3"
"1124","KCNG4"
"1125","KCNJ12"
"1126","KCNJ3"
"1127","KCNJ4"
"1128","KCNK18"
"1129","KCNK5"
"1130","KCNMB1"
"1131","KCNMB2"
"1132","KCNMB3"
"1133","KCNMB4"
"1134","KCNS1"
"1135","KCNV2"
"1136","KCT2"
"1137","KDR"
"1138","KEL"
"1139","KIAA0247"
"1140","KIAA0319"
"1141","KIAA0922"
"1142","KIAA1324"
"1143","KIAA1324L"
"1144","KIAA1549L"
"1145","KIAA1644"
"1146","KIR2DL1"
"1147","KIR2DL2"
"1148","KIR2DL3"
"1149","KIR2DL4"
"1150","KIR2DL5A"
"1151","KIR2DL5B"
"1152","KIR2DS1"
"1153","KIR2DS2"
"1154","KIR2DS3"
"1155","KIR2DS4"
"1156","KIR2DS5"
"1157","KIR3DL1"
"1158","KIR3DL2"
"1159","KIR3DL3"
"1160","KIR3DP1"
"1161","KIR3DS1"
"1162","KIRREL"
"1163","KIRREL2"
"1164","KIRREL3"
"1165","KISS1R"
"1166","KIT"
"1167","KITLG"
"1168","KL"
"1169","KLRB1"
"1170","KLRC1"
"1171","KLRC2"
"1172","KLRC3"
"1173","KLRD1"
"1174","KLRF1"
"1175","KLRF2"
"1176","KLRG1"
"1177","KLRK1"
"1178","KREMEN1"
"1179","KREMEN2"
"1180","L1CAM"
"1181","LAG3"
"1182","LAIR1"
"1183","LAIR2"
"1184","LAMP1"
"1185","LAMP2"
"1186","LAMP3"
"1187","LAMP5"
"1188","LAYN"
"1189","LCT"
"1190","LDLR"
"1191","LDLRAD3"
"1192","LDLRAD4"
"1193","LEPR"
"1194","LGR4"
"1195","LGR5"
"1196","LGR6"
"1197","LHCGR"
"1198","LHFPL1"
"1199","LHFPL4"
"1200","LHFPL5"
"1201","LIFR"
"1202","LILRA1"
"1203","LILRA2"
"1204","LILRA3"
"1205","LILRA4"
"1206","LILRA5"
"1207","LILRA6"
"1208","LILRB1"
"1209","LILRB2"
"1210","LILRB3"
"1211","LILRB4"
"1212","LILRB5"
"1213","LILRP1"
"1214","LILRP2"
"1215","LIM2"
"1216","LINGO1"
"1217","LINGO2"
"1218","LINGO3"
"1219","LINGO4"
"1220","LMAN2"
"1221","LMAN2L"
"1222","LMBR1"
"1223","LMBR1L"
"1224","LMBRD1"
"1225","LMBRD2"
"1226","LNPEP"
"1227","LPAR1"
"1228","LPAR2"
"1229","LPAR3"
"1230","LPAR4"
"1231","LPAR5"
"1232","LPAR6"
"1233","LPHN1"
"1234","LPHN2"
"1235","LPHN3"
"1236","LPL"
"1237","LPPR1"
"1238","LPPR4"
"1239","LPPR5"
"1240","LRFN1"
"1241","LRFN2"
"1242","LRFN3"
"1243","LRFN4"
"1244","LRFN5"
"1245","LRIG1"
"1246","LRIG2"
"1247","LRIG3"
"1248","LRIT1"
"1249","LRIT2"
"1250","LRIT3"
"1251","LRP1"
"1252","LRP10"
"1253","LRP11"
"1254","LRP12"
"1255","LRP1B"
"1256","LRP2"
"1257","LRP3"
"1258","LRP4"
"1259","LRP5"
"1260","LRP6"
"1261","LRP8"
"1262","LRRC15"
"1263","LRRC19"
"1264","LRRC24"
"1265","LRRC25"
"1266","LRRC32"
"1267","LRRC37A"
"1268","LRRC37A2"
"1269","LRRC37A3"
"1270","LRRC37B"
"1271","LRRC38"
"1272","LRRC3B"
"1273","LRRC4"
"1274","LRRC4B"
"1275","LRRC4C"
"1276","LRRC52"
"1277","LRRN1"
"1278","LRRN2"
"1279","LRRN3"
"1280","LRRN4"
"1281","LRRN4CL"
"1282","LRRTM2"
"1283","LRRTM3"
"1284","LRRTM4"
"1285","LRTM1"
"1286","LRTM2"
"1287","LSAMP"
"1288","LSMEM1"
"1289","LTB4R"
"1290","LTB4R2"
"1291","LTBR"
"1292","LTK"
"1293","LY6D"
"1294","LY6E"
"1295","LY6G6C"
"1296","LY6G6D"
"1297","LY6G6F"
"1298","LY6H"
"1299","LY6K"
"1300","LY75"
"1301","LY9"
"1302","LYNX1"
"1303","LYPD1"
"1304","LYPD2"
"1305","LYPD3"
"1306","LYPD4"
"1307","LYPD5"
"1308","LYPD6B"
"1309","LYPD8"
"1310","LYSMD3"
"1311","LYVE1"
"1312","M6PR"
"1313","MAG"
"1314","MALRD1"
"1315","MAMDC4"
"1316","MANSC1"
"1317","MANSC4"
"1318","MAS1"
"1319","MAS1L"
"1320","MC1R"
"1321","MC2R"
"1322","MC3R"
"1323","MC4R"
"1324","MC5R"
"1325","MCAM"
"1326","MCHR1"
"1327","MCHR2"
"1328","MCOLN1"
"1329","MDGA1"
"1330","MDGA2"
"1331","MEGF10"
"1332","MEGF11"
"1333","MEGF8"
"1334","MEGF9"
"1335","MELTF"
"1336","MEP1A"
"1337","MEP1B"
"1338","MERTK"
"1339","MET"
"1340","MFAP3"
"1341","MFAP3L"
"1342","MFI2"
"1343","MFRP"
"1344","MFSD11"
"1345","MFSD12"
"1346","MFSD2A"
"1347","MFSD2B"
"1348","MFSD4"
"1349","MFSD5"
"1350","MFSD6"
"1351","MFSD6L"
"1352","MFSD7"
"1353","MFSD8"
"1354","MICA"
"1355","MICB"
"1356","MILR1"
"1357","MIP"
"1358","MLNR"
"1359","MME"
"1360","MMEL1"
"1361","MMP14"
"1362","MMP16"
"1363","MMP17"
"1364","MMP25"
"1365","MOG"
"1366","MPEG1"
"1367","MPL"
"1368","MPZ"
"1369","MPZL1"
"1370","MPZL2"
"1371","MPZL3"
"1372","MR1"
"1373","MRC1"
"1374","MRC2"
"1375","MRGPRD"
"1376","MRGPRE"
"1377","MRGPRF"
"1378","MRGPRG"
"1379","MRGPRX1"
"1380","MRGPRX2"
"1381","MRGPRX3"
"1382","MRGPRX4"
"1383","MRVI1"
"1384","MS4A1"
"1385","MS4A15"
"1386","MS4A6A"
"1387","MSLN"
