ENSMUSP00000000033
ENSMUSP00000000186
ENSMUSP00000000187
ENSMUSP00000000194
ENSMUSP00000000220
ENSMUSP00000000287
ENSMUSP00000000342
ENSMUSP00000000412
ENSMUSP00000000769
ENSMUSP00000000834
ENSMUSP00000000889
ENSMUSP00000001008
ENSMUSP00000001156
ENSMUSP00000001547
ENSMUSP00000001927
ENSMUSP00000002100
ENSMUSP00000002274
ENSMUSP00000002284
ENSMUSP00000002678
ENSMUSP00000002708
ENSMUSP00000002740
ENSMUSP00000002885
ENSMUSP00000003066
ENSMUSP00000003074
ENSMUSP00000003274
ENSMUSP00000003659
ENSMUSP00000003808
ENSMUSP00000004587
ENSMUSP00000005073
ENSMUSP00000005334
ENSMUSP00000005849
ENSMUSP00000006235
ENSMUSP00000006367
ENSMUSP00000006703
ENSMUSP00000006745
ENSMUSP00000006952
ENSMUSP00000006956
ENSMUSP00000007423
ENSMUSP00000007738
ENSMUSP00000009143
ENSMUSP00000010941
ENSMUSP00000011391
ENSMUSP00000012849
ENSMUSP00000014830
ENSMUSP00000014957
ENSMUSP00000015394
ENSMUSP00000015663
ENSMUSP00000015712
ENSMUSP00000015994
ENSMUSP00000015998
ENSMUSP00000016087
ENSMUSP00000016168
ENSMUSP00000016315
ENSMUSP00000016673
ENSMUSP00000017208
ENSMUSP00000017309
ENSMUSP00000017455
ENSMUSP00000017460
ENSMUSP00000017488
ENSMUSP00000017881
ENSMUSP00000018737
ENSMUSP00000019060
ENSMUSP00000019074
ENSMUSP00000019266
ENSMUSP00000019723
ENSMUSP00000019992
ENSMUSP00000020022
ENSMUSP00000020129
ENSMUSP00000020507
ENSMUSP00000020575
ENSMUSP00000020650
ENSMUSP00000020704
ENSMUSP00000020710
ENSMUSP00000021011
ENSMUSP00000021179
ENSMUSP00000021242
ENSMUSP00000021328
ENSMUSP00000021603
ENSMUSP00000021610
ENSMUSP00000021646
ENSMUSP00000021757
ENSMUSP00000021778
ENSMUSP00000021892
ENSMUSP00000021948
ENSMUSP00000022019
ENSMUSP00000022108
ENSMUSP00000022150
ENSMUSP00000022213
ENSMUSP00000022340
ENSMUSP00000022545
ENSMUSP00000022592
ENSMUSP00000022616
ENSMUSP00000022660
ENSMUSP00000022697
ENSMUSP00000022704
ENSMUSP00000022707
ENSMUSP00000022836
ENSMUSP00000023364
ENSMUSP00000023583
ENSMUSP00000023611
ENSMUSP00000023734
ENSMUSP00000023814
ENSMUSP00000023978
ENSMUSP00000024004
ENSMUSP00000024005
ENSMUSP00000024015
ENSMUSP00000024099
ENSMUSP00000024107
ENSMUSP00000024706
ENSMUSP00000024747
ENSMUSP00000024782
ENSMUSP00000024791
ENSMUSP00000024827
ENSMUSP00000024831
ENSMUSP00000025062
ENSMUSP00000025076
ENSMUSP00000025230
ENSMUSP00000025237
ENSMUSP00000025263
ENSMUSP00000025266
ENSMUSP00000025363
ENSMUSP00000025554
ENSMUSP00000025682
ENSMUSP00000025698
ENSMUSP00000025803
ENSMUSP00000025842
ENSMUSP00000025914
ENSMUSP00000025986
ENSMUSP00000026081
ENSMUSP00000026234
ENSMUSP00000026241
ENSMUSP00000026408
ENSMUSP00000026449
ENSMUSP00000026466
ENSMUSP00000027061
ENSMUSP00000027217
ENSMUSP00000027299
ENSMUSP00000027377
ENSMUSP00000027518
ENSMUSP00000027824
ENSMUSP00000027860
ENSMUSP00000027861
ENSMUSP00000027988
ENSMUSP00000028020
ENSMUSP00000028179
ENSMUSP00000028307
ENSMUSP00000028312
ENSMUSP00000028533
ENSMUSP00000028826
ENSMUSP00000028836
ENSMUSP00000028864
ENSMUSP00000028883
ENSMUSP00000028932
ENSMUSP00000028933
ENSMUSP00000028935
ENSMUSP00000028938
ENSMUSP00000028985
ENSMUSP00000028987
ENSMUSP00000029030
ENSMUSP00000029172
ENSMUSP00000029275
ENSMUSP00000029367
ENSMUSP00000029421
ENSMUSP00000029423
ENSMUSP00000029450
ENSMUSP00000029566
ENSMUSP00000029603
ENSMUSP00000029625
ENSMUSP00000029629
ENSMUSP00000029846
ENSMUSP00000029919
ENSMUSP00000029975
ENSMUSP00000030044
ENSMUSP00000030122
ENSMUSP00000030280
ENSMUSP00000030531
ENSMUSP00000030560
ENSMUSP00000030985
ENSMUSP00000031226
ENSMUSP00000031246
ENSMUSP00000031249
ENSMUSP00000031278
ENSMUSP00000031280
ENSMUSP00000031314
ENSMUSP00000031319
ENSMUSP00000031320
ENSMUSP00000031327
ENSMUSP00000031390
ENSMUSP00000031495
ENSMUSP00000031681
ENSMUSP00000031843
ENSMUSP00000031853
ENSMUSP00000032080
ENSMUSP00000032128
ENSMUSP00000032152
ENSMUSP00000032211
ENSMUSP00000032228
ENSMUSP00000032573
ENSMUSP00000032827
ENSMUSP00000032835
ENSMUSP00000032907
