ENSP00000002829
ENSP00000008938
ENSP00000052754
ENSP00000053867
ENSP00000054668
ENSP00000061240
ENSP00000165524
ENSP00000166139
ENSP00000168712
ENSP00000169293
ENSP00000170150
ENSP00000176195
ENSP00000190983
ENSP00000204604
ENSP00000204615
ENSP00000211076
ENSP00000215479
ENSP00000215539
ENSP00000215754
ENSP00000215781
ENSP00000216241
ENSP00000216286
ENSP00000216492
ENSP00000217305
ENSP00000217386
ENSP00000217407
ENSP00000217423
ENSP00000218230
ENSP00000219022
ENSP00000219197
ENSP00000219235
ENSP00000219345
ENSP00000221421
ENSP00000221498
ENSP00000221515
ENSP00000221847
ENSP00000222462
ENSP00000222481
ENSP00000222543
ENSP00000222674
ENSP00000223271
ENSP00000224181
ENSP00000225831
ENSP00000225842
ENSP00000225844
ENSP00000225964
ENSP00000225992
ENSP00000226218
ENSP00000226284
ENSP00000226460
ENSP00000227665
ENSP00000228280
ENSP00000228534
ENSP00000228837
ENSP00000229134
ENSP00000229243
ENSP00000230568
ENSP00000230990
ENSP00000231004
ENSP00000231061
ENSP00000231449
ENSP00000231454
ENSP00000231721
ENSP00000231751
ENSP00000233813
ENSP00000233954
ENSP00000234071
ENSP00000234701
ENSP00000237837
ENSP00000238044
ENSP00000238682
ENSP00000238983
ENSP00000239849
ENSP00000241069
ENSP00000242152
ENSP00000243611
ENSP00000244241
ENSP00000244728
ENSP00000244926
ENSP00000245451
ENSP00000245810
ENSP00000246020
ENSP00000246896
ENSP00000246949
ENSP00000247005
ENSP00000247020
ENSP00000248701
ENSP00000249330
ENSP00000249842
ENSP00000250340
ENSP00000250366
ENSP00000250378
ENSP00000250971
ENSP00000252453
ENSP00000252486
ENSP00000252575
ENSP00000252723
ENSP00000252809
ENSP00000253451
ENSP00000253496
ENSP00000255039
ENSP00000255409
ENSP00000256585
ENSP00000256785
ENSP00000257359
ENSP00000257696
ENSP00000257868
ENSP00000258083
ENSP00000259206
ENSP00000259396
ENSP00000259526
ENSP00000259631
ENSP00000259726
ENSP00000259845
ENSP00000259870
ENSP00000259875
ENSP00000260118
ENSP00000260227
ENSP00000260595
ENSP00000261172
ENSP00000261267
ENSP00000261292
ENSP00000261336
ENSP00000261405
ENSP00000261862
ENSP00000262464
ENSP00000262648
ENSP00000262722
ENSP00000262768
ENSP00000262947
ENSP00000263100
ENSP00000263598
ENSP00000263851
ENSP00000263863
ENSP00000264094
ENSP00000264144
ENSP00000264497
ENSP00000264553
ENSP00000264563
ENSP00000264677
ENSP00000264708
ENSP00000264828
ENSP00000265132
ENSP00000265342
ENSP00000265441
ENSP00000266003
ENSP00000266031
ENSP00000266646
ENSP00000266718
ENSP00000266719
ENSP00000266991
ENSP00000267017
ENSP00000267406
ENSP00000268150
ENSP00000268281
ENSP00000269299
ENSP00000269593
ENSP00000270631
ENSP00000270642
ENSP00000271331
ENSP00000271643
ENSP00000272134
ENSP00000273610
ENSP00000274063
ENSP00000274507
ENSP00000274520
ENSP00000274625
ENSP00000275358
ENSP00000276935
ENSP00000277415
ENSP00000277480
ENSP00000277526
ENSP00000278222
ENSP00000278282
ENSP00000278407
ENSP00000278855
ENSP00000279168
ENSP00000279441
ENSP00000280082
ENSP00000280258
ENSP00000280527
ENSP00000282470
ENSP00000282479
ENSP00000282701
ENSP00000282957
ENSP00000284818
ENSP00000284987
ENSP00000285311
ENSP00000285599
ENSP00000286149
ENSP00000286574
ENSP00000287139
ENSP00000287748
ENSP00000287814
ENSP00000288040
ENSP00000290271
ENSP00000290722
ENSP00000291009
ENSP00000291526
ENSP00000291744
ENSP00000292377
ENSP00000292430
ENSP00000292609
ENSP00000293371
ENSP00000293549
ENSP00000293851
ENSP00000294485
ENSP00000294794
ENSP00000294800
ENSP00000295228
ENSP00000295326
ENSP00000295379
ENSP00000295550
ENSP00000295619
ENSP00000295755
ENSP00000295760
ENSP00000295777
ENSP00000295897
ENSP00000295927
ENSP00000296029
ENSP00000296130
ENSP00000296252
ENSP00000296280
ENSP00000296420
ENSP00000296777
ENSP00000296870
ENSP00000296875
ENSP00000296877
ENSP00000297261
ENSP00000297268
ENSP00000297435
ENSP00000297436
ENSP00000297439
ENSP00000297498
ENSP00000298454
ENSP00000298690
ENSP00000299022
ENSP00000299367
ENSP00000299698
ENSP00000299855
ENSP00000300527
ENSP00000300762
ENSP00000301202
ENSP00000301391
ENSP00000301407
ENSP00000301408
ENSP00000301770
ENSP00000301908
ENSP00000306361
ENSP00000306099
ENSP00000303208
ENSP00000303920
ENSP00000305919
ENSP00000306279
ENSP00000302274
ENSP00000303452
ENSP00000303211
ENSP00000303963
ENSP00000304915
ENSP00000304408
ENSP00000302324
ENSP00000302046
ENSP00000307132
ENSP00000307540
ENSP00000302400
ENSP00000302924
ENSP00000303206
ENSP00000304133
ENSP00000302557
ENSP00000307164
ENSP00000304780
ENSP00000302234
ENSP00000305651
ENSP00000302665
ENSP00000304234
ENSP00000304355
ENSP00000303550
ENSP00000309953
ENSP00000311905
ENSP00000311320
ENSP00000311035
ENSP00000311127
ENSP00000309124
ENSP00000309596
ENSP00000309524
ENSP00000311746
ENSP00000312273
ENSP00000308893
ENSP00000312529
ENSP00000309757
ENSP00000311184
ENSP00000308107
ENSP00000339067
ENSP00000311854
ENSP00000310371
ENSP00000312134
ENSP00000311313
ENSP00000310770
ENSP00000311697
ENSP00000324025
ENSP00000315635
ENSP00000320813
ENSP00000316333
ENSP00000324672
ENSP00000322191
ENSP00000316416
ENSP00000319476
ENSP00000315130
ENSP00000321724
ENSP00000319846
ENSP00000315243
ENSP00000322591
ENSP00000323929
ENSP00000324763
ENSP00000317445
ENSP00000321106
ENSP00000322486
ENSP00000315731
ENSP00000321797
ENSP00000346068
ENSP00000322273
ENSP00000314299
ENSP00000319464
ENSP00000318217
ENSP00000324870
ENSP00000325286
ENSP00000317145
ENSP00000321242
ENSP00000315098
ENSP00000332215
ENSP00000332139
ENSP00000328359
ENSP00000331544
ENSP00000327887
ENSP00000330808
ENSP00000329384
ENSP00000330658
ENSP00000333358
ENSP00000330426
ENSP00000328397
ENSP00000331210
ENSP00000331358
ENSP00000332225
ENSP00000330070
ENSP00000333494
ENSP00000330523
ENSP00000330484
ENSP00000329890
ENSP00000330601
ENSP00000328738
ENSP00000330382
ENSP00000331746
ENSP00000332723
ENSP00000332766
ENSP00000330269
ENSP00000334267
ENSP00000335481
ENSP00000334122
ENSP00000334463
ENSP00000334284
ENSP00000335616
ENSP00000334733
ENSP00000334042
ENSP00000335657
ENSP00000335024
ENSP00000334330
ENSP00000335307
ENSP00000335633
ENSP00000334364
ENSP00000335281
ENSP00000334186
ENSP00000338317
ENSP00000337432
ENSP00000338607
ENSP00000337425
ENSP00000336762
ENSP00000338816
ENSP00000337065
ENSP00000338213
ENSP00000337612
ENSP00000336987
ENSP00000336792
ENSP00000337128
ENSP00000341128
ENSP00000344829
ENSP00000343577
ENSP00000339251
ENSP00000340864
ENSP00000345768
ENSP00000341013
ENSP00000340935
ENSP00000342012
ENSP00000340215
ENSP00000341051
ENSP00000344192
ENSP00000339328
ENSP00000345968
ENSP00000345289
ENSP00000342212
ENSP00000344860
ENSP00000341353
ENSP00000342570
ENSP00000345008
ENSP00000341490
ENSP00000340328
ENSP00000342254
ENSP00000344458
ENSP00000344545
ENSP00000345487
ENSP00000340998
ENSP00000341640
ENSP00000344758
ENSP00000341141
ENSP00000340870
ENSP00000342070
ENSP00000308396
ENSP00000304207
ENSP00000329546
ENSP00000289574
ENSP00000344907
ENSP00000341555
ENSP00000314451
ENSP00000335384
ENSP00000334036
ENSP00000296979
ENSP00000340592
ENSP00000294798
ENSP00000325190
ENSP00000291741
ENSP00000289576
ENSP00000265131
ENSP00000339730
ENSP00000297496
ENSP00000340210
ENSP00000326762
ENSP00000301203
ENSP00000340461
ENSP00000345672
ENSP00000295618
ENSP00000330463
ENSP00000315873
ENSP00000278959
ENSP00000346133
ENSP00000346158
ENSP00000346478
ENSP00000347041
ENSP00000347484
ENSP00000347596
ENSP00000347606
ENSP00000347665
ENSP00000348058
ENSP00000348068
ENSP00000348170
ENSP00000348384
ENSP00000348425
ENSP00000348918
ENSP00000349341
ENSP00000349365
ENSP00000349493
ENSP00000349757
ENSP00000349884
ENSP00000349954
ENSP00000350413
ENSP00000350425
ENSP00000350630
ENSP00000351043
ENSP00000351640
ENSP00000351671
ENSP00000351695
ENSP00000351946
ENSP00000352003
ENSP00000352414
ENSP00000352455
ENSP00000352606
ENSP00000352639
ENSP00000352798
ENSP00000352924
ENSP00000353198
ENSP00000353819
ENSP00000354193
ENSP00000354286
ENSP00000354341
ENSP00000354458
ENSP00000355126
ENSP00000354677
ENSP00000354610
ENSP00000355163
ENSP00000354816
ENSP00000355201
ENSP00000355042
ENSP00000355529
ENSP00000355719
ENSP00000355785
ENSP00000355896
